risk_entity_id,candidate_id,entity_id,tenant_id,enterprise_id,manufacturer_code,manufacturer_display_name,hospital_code,hospital_display_name,drug_code,drug_group,drug_group_source,drug_display_name,report_month,cutoff_month,primary_horizon,risk_probability_display,risk_probability_value,probability_display_mode,risk_level,risk_color,risk_score_display,palive_display,palive_display_mode,value_at_risk_display,potential_value_level,business_priority_display,main_reason_summary,risk_type_label,region_code,region_display_name,review_status,final_candidate_status,review_priority,evidence_strength,risk_card_count,has_work_order,is_high_risk,is_observation,is_one_shot,is_probability_allowed,user_visible_caveat,suggested_action_short,auto_dispatch_allowed,created_at
43B3F24E6895475BA3EA1CD00FA74CE0|YL006583140|ZA04CBH0205010303704|H3,43B3F24E6895475BA3EA1CD00FA74CE0|YL006583140|ZA04CBH0205010303704|H3,43B3F24E6895475BA3EA1CD00FA74CE0|YL006583140|ZA04CBH0205010303704,default_tenant,default_enterprise,43B3F24E6895475BA3EA1CD00FA74CE0,43B3F24E6895475BA3EA1CD00FA74CE0,YL006583140,YL006583140,ZA04CBH0205010303704,ZA04CBH0205010303704,drug_code,ZA04CBH0205010303704,2025-09,2025-09-30,H3,hidden,,hide_probability,attention,gray,0.9606,hidden,derived_from_churn_probability_hidden_unless_allowed,low,low,relative,multi_recall_union_top10|manufacturer_worklist_fill_observation,multi_recall_union_top10|manufacturer_worklist_fill_observation,130000,130000,one_shot_attention,one_shot_attention,P3,weak,0,False,False,False,True,False,source_aligned_m1_candidate_policy; presentation_user_fill_is_downstream,Check second-purchase opportunity,False,2026-07-09T06:30:52.894689+00:00
9701EFF559DF4862AF18CF0DC1B6962D|YL651909|XA12AAF426X001010203705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL651909|XA12AAF426X001010203705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL651909|XA12AAF426X001010203705,default_tenant,default_enterprise,9701EFF559DF4862AF18CF0DC1B6962D,9701EFF559DF4862AF18CF0DC1B6962D,YL651909,YL651909,XA12AAF426X001010203705,XA12AAF426X001010203705,drug_code,XA12AAF426X001010203705,2025-09,2025-09-30,H3,hidden,,hide_probability,observation,gray,0.9522,hidden,derived_from_churn_probability_hidden_unless_allowed,low,low,relative,multi_recall_union_top10|manufacturer_worklist_fill_observation,multi_recall_union_top10|manufacturer_worklist_fill_observation,650000,650000,observation_only,observation_only,P3,weak,0,False,False,True,False,False,source_aligned_m1_candidate_policy; presentation_user_fill_is_downstream,Continue monitoring,False,2026-07-09T06:30:52.894689+00:00
DFC52F4CCF384D849D053242EA2935F3|YLNS00182544|ZA12AAN0014010103711|H3,DFC52F4CCF384D849D053242EA2935F3|YLNS00182544|ZA12AAN0014010103711|H3,DFC52F4CCF384D849D053242EA2935F3|YLNS00182544|ZA12AAN0014010103711,default_tenant,default_enterprise,DFC52F4CCF384D849D053242EA2935F3,DFC52F4CCF384D849D053242EA2935F3,YLNS00182544,YLNS00182544,ZA12AAN0014010103711,ZA12AAN0014010103711,drug_code,ZA12AAN0014010103711,2025-09,2025-09-30,H3,hidden,,hide_probability,attention,gray,0.9519,hidden,derived_from_churn_probability_hidden_unless_allowed,low,low,relative,multi_recall_union_top10|manufacturer_worklist_fill_observation,multi_recall_union_top10|manufacturer_worklist_fill_observation,360000,360000,one_shot_attention,one_shot_attention,P3,medium,0,False,False,False,True,False,source_aligned_m1_candidate_policy; presentation_user_fill_is_downstream,Check second-purchase opportunity,False,2026-07-09T06:30:52.894689+00:00
DFC52F4CCF384D849D053242EA2935F3|YLNS00459017|ZA12AAN0014010103711|H3,DFC52F4CCF384D849D053242EA2935F3|YLNS00459017|ZA12AAN0014010103711|H3,DFC52F4CCF384D849D053242EA2935F3|YLNS00459017|ZA12AAN0014010103711,default_tenant,default_enterprise,DFC52F4CCF384D849D053242EA2935F3,DFC52F4CCF384D849D053242EA2935F3,YLNS00459017,YLNS00459017,ZA12AAN0014010103711,ZA12AAN0014010103711,drug_code,ZA12AAN0014010103711,2025-09,2025-09-30,H3,hidden,,hide_probability,attention,gray,0.9519,hidden,derived_from_churn_probability_hidden_unless_allowed,low,low,relative,multi_recall_union_top10|manufacturer_worklist_fill_observation,multi_recall_union_top10|manufacturer_worklist_fill_observation,360000,360000,one_shot_attention,one_shot_attention,P3,weak,0,False,False,False,True,False,source_aligned_m1_candidate_policy; presentation_user_fill_is_downstream,Check second-purchase opportunity,False,2026-07-09T06:30:52.894689+00:00
9701EFF559DF4862AF18CF0DC1B6962D|YL630752|XA12AAF426X001010203705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL630752|XA12AAF426X001010203705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL630752|XA12AAF426X001010203705,default_tenant,default_enterprise,9701EFF559DF4862AF18CF0DC1B6962D,9701EFF559DF4862AF18CF0DC1B6962D,YL630752,YL630752,XA12AAF426X001010203705,XA12AAF426X001010203705,drug_code,XA12AAF426X001010203705,2025-09,2025-09-30,H3,hidden,,hide_probability,observation,gray,0.9515,hidden,derived_from_churn_probability_hidden_unless_allowed,low,low,relative,multi_recall_union_top10|manufacturer_worklist_fill_observation,multi_recall_union_top10|manufacturer_worklist_fill_observation,630000,630000,observation_only,observation_only,P3,weak,0,False,False,True,False,False,source_aligned_m1_candidate_policy; presentation_user_fill_is_downstream,Continue monitoring,False,2026-07-09T06:30:52.894689+00:00
9701EFF559DF4862AF18CF0DC1B6962D|YL6566627|e55aab9b3ee754a3580eded051caa1c2|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL6566627|e55aab9b3ee754a3580eded051caa1c2|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL6566627|e55aab9b3ee754a3580eded051caa1c2,default_tenant,default_enterprise,9701EFF559DF4862AF18CF0DC1B6962D,9701EFF559DF4862AF18CF0DC1B6962D,YL6566627,YL6566627,e55aab9b3ee754a3580eded051caa1c2,e55aab9b3ee754a3580eded051caa1c2,drug_code,e55aab9b3ee754a3580eded051caa1c2,2025-09,2025-09-30,H3,hidden,,hide_probability,attention,gray,0.9515,hidden,derived_from_churn_probability_hidden_unless_allowed,low,low,relative,multi_recall_union_top10|manufacturer_worklist_fill_observation,multi_recall_union_top10|manufacturer_worklist_fill_observation,420000,420000,one_shot_attention,one_shot_attention,P3,weak,0,False,False,False,True,False,source_aligned_m1_candidate_policy; presentation_user_fill_is_downstream,Check second-purchase opportunity,False,2026-07-09T06:30:52.894689+00:00
9701EFF559DF4862AF18CF0DC1B6962D|YL6804533|XA12CBP084X001010403705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL6804533|XA12CBP084X001010403705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL6804533|XA12CBP084X001010403705,default_tenant,default_enterprise,9701EFF559DF4862AF18CF0DC1B6962D,9701EFF559DF4862AF18CF0DC1B6962D,YL6804533,YL6804533,XA12CBP084X001010403705,XA12CBP084X001010403705,drug_code,XA12CBP084X001010403705,2025-09,2025-09-30,H3,hidden,,hide_probability,attention,gray,0.9515,hidden,derived_from_churn_probability_hidden_unless_allowed,low,low,relative,multi_recall_union_top10|manufacturer_worklist_fill_observation,multi_recall_union_top10|manufacturer_worklist_fill_observation,520000,520000,one_shot_attention,one_shot_attention,P3,weak,0,False,False,False,True,False,source_aligned_m1_candidate_policy; presentation_user_fill_is_downstream,Check second-purchase opportunity,False,2026-07-09T06:30:52.894689+00:00
9701EFF559DF4862AF18CF0DC1B6962D|YL653134|XA12AAF426X001010203705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL653134|XA12AAF426X001010203705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL653134|XA12AAF426X001010203705,default_tenant,default_enterprise,9701EFF559DF4862AF18CF0DC1B6962D,9701EFF559DF4862AF18CF0DC1B6962D,YL653134,YL653134,XA12AAF426X001010203705,XA12AAF426X001010203705,drug_code,XA12AAF426X001010203705,2025-09,2025-09-30,H3,hidden,,hide_probability,attention,gray,0.951,hidden,derived_from_churn_probability_hidden_unless_allowed,low,low,relative,multi_recall_union_top10|manufacturer_worklist_fill_observation,multi_recall_union_top10|manufacturer_worklist_fill_observation,650000,650000,one_shot_attention,one_shot_attention,P3,weak,0,False,False,False,True,False,source_aligned_m1_candidate_policy; presentation_user_fill_is_downstream,Check second-purchase opportunity,False,2026-07-09T06:30:52.894689+00:00
9701EFF559DF4862AF18CF0DC1B6962D|YL6560276|XA12AAF426X001010203705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL6560276|XA12AAF426X001010203705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL6560276|XA12AAF426X001010203705,default_tenant,default_enterprise,9701EFF559DF4862AF18CF0DC1B6962D,9701EFF559DF4862AF18CF0DC1B6962D,YL6560276,YL6560276,XA12AAF426X001010203705,XA12AAF426X001010203705,drug_code,XA12AAF426X001010203705,2025-09,2025-09-30,H3,hidden,,hide_probability,attention,gray,0.951,hidden,derived_from_churn_probability_hidden_unless_allowed,low,low,relative,multi_recall_union_top10|manufacturer_worklist_fill_observation,multi_recall_union_top10|manufacturer_worklist_fill_observation,650000,650000,one_shot_attention,one_shot_attention,P3,weak,0,False,False,False,True,False,source_aligned_m1_candidate_policy; presentation_user_fill_is_downstream,Check second-purchase opportunity,False,2026-07-09T06:30:52.894689+00:00
9701EFF559DF4862AF18CF0DC1B6962D|YL6803446|XA12AAF426X001010203705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL6803446|XA12AAF426X001010203705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL6803446|XA12AAF426X001010203705,default_tenant,default_enterprise,9701EFF559DF4862AF18CF0DC1B6962D,9701EFF559DF4862AF18CF0DC1B6962D,YL6803446,YL6803446,XA12AAF426X001010203705,XA12AAF426X001010203705,drug_code,XA12AAF426X001010203705,2025-09,2025-09-30,H3,hidden,,hide_probability,attention,gray,0.951,hidden,derived_from_churn_probability_hidden_unless_allowed,low,low,relative,multi_recall_union_top10|manufacturer_worklist_fill_observation,multi_recall_union_top10|manufacturer_worklist_fill_observation,650000,650000,one_shot_attention,one_shot_attention,P3,weak,0,False,False,False,True,False,source_aligned_m1_candidate_policy; presentation_user_fill_is_downstream,Check second-purchase opportunity,False,2026-07-09T06:30:52.894689+00:00
9701EFF559DF4862AF18CF0DC1B6962D|YL6804435|XA12AAF426X001010203705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL6804435|XA12AAF426X001010203705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL6804435|XA12AAF426X001010203705,default_tenant,default_enterprise,9701EFF559DF4862AF18CF0DC1B6962D,9701EFF559DF4862AF18CF0DC1B6962D,YL6804435,YL6804435,XA12AAF426X001010203705,XA12AAF426X001010203705,drug_code,XA12AAF426X001010203705,2025-09,2025-09-30,H3,hidden,,hide_probability,attention,gray,0.951,hidden,derived_from_churn_probability_hidden_unless_allowed,low,low,relative,multi_recall_union_top10|manufacturer_worklist_fill_observation,multi_recall_union_top10|manufacturer_worklist_fill_observation,650000,650000,one_shot_attention,one_shot_attention,P3,weak,0,False,False,False,True,False,source_aligned_m1_candidate_policy; presentation_user_fill_is_downstream,Check second-purchase opportunity,False,2026-07-09T06:30:52.894689+00:00
9701EFF559DF4862AF18CF0DC1B6962D|YL6592017|XA12CBP084X001010403705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL6592017|XA12CBP084X001010403705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL6592017|XA12CBP084X001010403705,default_tenant,default_enterprise,9701EFF559DF4862AF18CF0DC1B6962D,9701EFF559DF4862AF18CF0DC1B6962D,YL6592017,YL6592017,XA12CBP084X001010403705,XA12CBP084X001010403705,drug_code,XA12CBP084X001010403705,2025-09,2025-09-30,H3,hidden,,hide_probability,attention,gray,0.9509,hidden,derived_from_churn_probability_hidden_unless_allowed,low,low,relative,multi_recall_union_top10|manufacturer_worklist_fill_observation,multi_recall_union_top10|manufacturer_worklist_fill_observation,510000,510000,one_shot_attention,one_shot_attention,P3,medium,0,False,False,False,True,False,source_aligned_m1_candidate_policy; presentation_user_fill_is_downstream,Check second-purchase opportunity,False,2026-07-09T06:30:52.894689+00:00
9701EFF559DF4862AF18CF0DC1B6962D|YL231002|ZA01BAS0839020103705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL231002|ZA01BAS0839020103705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL231002|ZA01BAS0839020103705,default_tenant,default_enterprise,9701EFF559DF4862AF18CF0DC1B6962D,9701EFF559DF4862AF18CF0DC1B6962D,YL231002,YL231002,ZA01BAS0839020103705,ZA01BAS0839020103705,drug_code,ZA01BAS0839020103705,2025-09,2025-09-30,H3,hidden,,hide_probability,observation,gray,0.9506,hidden,derived_from_churn_probability_hidden_unless_allowed,low,low,relative,multi_recall_union_top10|manufacturer_worklist_fill_observation,multi_recall_union_top10|manufacturer_worklist_fill_observation,230000,230000,observation_only,observation_only,P3,insufficient,0,False,False,True,False,False,source_aligned_m1_candidate_policy; presentation_user_fill_is_downstream,Continue monitoring,False,2026-07-09T06:30:52.894689+00:00
DFC52F4CCF384D849D053242EA2935F3|YL6565192|ZA12AAN0014010103711|H3,DFC52F4CCF384D849D053242EA2935F3|YL6565192|ZA12AAN0014010103711|H3,DFC52F4CCF384D849D053242EA2935F3|YL6565192|ZA12AAN0014010103711,default_tenant,default_enterprise,DFC52F4CCF384D849D053242EA2935F3,DFC52F4CCF384D849D053242EA2935F3,YL6565192,YL6565192,ZA12AAN0014010103711,ZA12AAN0014010103711,drug_code,ZA12AAN0014010103711,2025-09,2025-09-30,H3,hidden,,hide_probability,observation,gray,0.9505,hidden,derived_from_churn_probability_hidden_unless_allowed,low,low,relative,multi_recall_union_top10|manufacturer_worklist_fill_observation,multi_recall_union_top10|manufacturer_worklist_fill_observation,360000,360000,observation_only,observation_only,P3,weak,0,False,False,True,False,False,source_aligned_m1_candidate_policy; presentation_user_fill_is_downstream,Continue monitoring,False,2026-07-09T06:30:52.894689+00:00
43B3F24E6895475BA3EA1CD00FA74CE0|YL652379|ZA04CBH0205010503704|H3,43B3F24E6895475BA3EA1CD00FA74CE0|YL652379|ZA04CBH0205010503704|H3,43B3F24E6895475BA3EA1CD00FA74CE0|YL652379|ZA04CBH0205010503704,default_tenant,default_enterprise,43B3F24E6895475BA3EA1CD00FA74CE0,43B3F24E6895475BA3EA1CD00FA74CE0,YL652379,YL652379,ZA04CBH0205010503704,ZA04CBH0205010503704,drug_code,ZA04CBH0205010503704,2025-09,2025-09-30,H3,hidden,,hide_probability,observation,gray,0.9504,hidden,derived_from_churn_probability_hidden_unless_allowed,low,low,relative,multi_recall_union_top10|manufacturer_worklist_fill_observation,multi_recall_union_top10|manufacturer_worklist_fill_observation,650000,650000,observation_only,observation_only,P3,weak,0,False,False,True,False,False,source_aligned_m1_candidate_policy; presentation_user_fill_is_downstream,Continue monitoring,False,2026-07-09T06:30:52.894689+00:00
9701EFF559DF4862AF18CF0DC1B6962D|YL652002|XA12CBP084X001010403705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL652002|XA12CBP084X001010403705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL652002|XA12CBP084X001010403705,default_tenant,default_enterprise,9701EFF559DF4862AF18CF0DC1B6962D,9701EFF559DF4862AF18CF0DC1B6962D,YL652002,YL652002,XA12CBP084X001010403705,XA12CBP084X001010403705,drug_code,XA12CBP084X001010403705,2025-09,2025-09-30,H3,hidden,,hide_probability,observation,gray,0.9499,hidden,derived_from_churn_probability_hidden_unless_allowed,low,low,relative,multi_recall_union_top10|manufacturer_worklist_fill_observation,multi_recall_union_top10|manufacturer_worklist_fill_observation,650000,650000,observation_only,observation_only,P3,weak,0,False,False,True,False,False,source_aligned_m1_candidate_policy; presentation_user_fill_is_downstream,Continue monitoring,False,2026-07-09T06:30:52.894689+00:00
